location,,DemandMet,FastDiffusion,Recycling,SelfSuff40,Tariffs
AUS,157.27001845590254,151.88366782330567,151.6088878816777,151.3809202798101,151.53719255918904,151.82337983875135
AUT,307.160956703183,298.0957886167861,301.8993908326608,293.7381574480754,291.8336994359755,261.94299866134105
BRA,164.2904512167081,153.20538617147918,153.32708402468467,153.32784241716394,146.2418815484047,144.04116915704412
CHN,101.94958661412022,100.91960043962465,100.93104165409345,102.07637268916301,100.67879540814816,100.07563256171092
CZE,266.6249462238597,265.0175353737646,267.080012915735,264.53303946131894,263.0333684494616,263.0175548230194
DEU,190.94798564359644,192.38505754094373,191.8006533213388,193.5581057138158,205.34519556501522,186.827296062565
ITA,196.46118248398662,195.44688118213116,194.3388720540891,195.6688249572841,214.18551738508813,206.32953399716254
JPN,203.04603882702705,201.3743076284329,201.7397440183533,201.0139357993748,201.92659206951907,184.84767198142046
KOR,228.240185418641,228.3999849513775,228.2249798772043,227.51670280480633,229.37339621262026,230.0477369221416
ROE,197.72026241914753,204.73466052725075,203.9980215842615,204.59145753767123,202.16899109784214,170.62345450572826
ROW,163.28784055941176,164.25505475210633,165.19468462538427,163.1522801231012,164.28468855457734,165.05538285373834
USA,181.49918722276718,173.31590346135047,173.64725373615187,173.28400741886395,177.79482232337878,171.111850537888
