,technology,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,20.0,20.0,20.0,20.0,20.0,20.0
1,Bauxite_mining,20.0,20.0,20.0,20.0,20.0,20.0
2,Compressor_manufacturing,20.0,20.0,20.0,20.0,20.0,20.0
3,Copper_mining,20.0,20.0,20.0,20.0,20.0,20.0
4,Copper_recycling,20.0,20.0,20.0,20.0,20.0,20.0
5,Copper_refinement,20.0,20.0,20.0,20.0,20.0,20.0
6,HEX_manufacturing,20.0,20.0,20.0,20.0,20.0,20.0
7,HP_assembly,20.0,20.0,20.0,20.0,20.0,20.0
8,Iron_mining,20.0,20.0,20.0,20.0,20.0,20.0
9,Nickel_mining,20.0,20.0,20.0,20.0,20.0,20.0
10,Nickel_recycling,20.0,20.0,20.0,20.0,20.0,20.0
11,Steel_production,20.0,20.0,20.0,20.0,20.0,20.0
12,Aluminium_transport,50.0,50.0,50.0,50.0,50.0,50.0
13,Bauxite_transport,50.0,50.0,50.0,50.0,50.0,50.0
14,Compressor_transport,50.0,50.0,50.0,50.0,50.0,50.0
15,Copper_ore_transport,50.0,50.0,50.0,50.0,50.0,50.0
16,Copper_transport,50.0,50.0,50.0,50.0,50.0,50.0
17,HEX_transport,50.0,50.0,50.0,50.0,50.0,50.0
18,HP_transport,50.0,50.0,50.0,50.0,50.0,50.0
19,Iron_transport,50.0,50.0,50.0,50.0,50.0,50.0
20,Nickel_transport,50.0,50.0,50.0,50.0,50.0,50.0
21,Refrigerant_transport,50.0,50.0,50.0,50.0,50.0,50.0
22,Steel_transport,50.0,50.0,50.0,50.0,50.0,50.0
23,Aluminium_storage,100.0,100.0,100.0,100.0,100.0,100.0
24,Bauxite_storage,100.0,100.0,100.0,100.0,100.0,100.0
25,Compressor_storage,100.0,100.0,100.0,100.0,100.0,100.0
26,Copper_storage,100.0,100.0,100.0,100.0,100.0,100.0
27,HEX_storage,100.0,100.0,100.0,100.0,100.0,100.0
28,HP_storage,100.0,100.0,100.0,100.0,100.0,100.0
29,Iron_storage,100.0,100.0,100.0,100.0,100.0,100.0
30,Nickel_storage,100.0,100.0,100.0,100.0,100.0,100.0
31,Steel_storage,100.0,100.0,100.0,100.0,100.0,100.0
